Titolo,Link,Età,Descrizione,Tipo,Difficoltà,Durata,Lingua,Keywords
The Problem Solving Process,https://studio.code.org/s/csd1-2022/lessons/3,14+,Question of the Day: How can we apply the problem solving process to many different kinds of problems?,Testo,Difficile,90-120,Inglese,"['problem solving process', 'many different kinds', 'question', 'problems', 'day']"
Exploring Problem Solving,https://studio.code.org/s/csd1-2022/lessons/4,14+,Question of the Day: What is a computer?,Video,Media,30-60,Inglese,"['question', 'day', 'computer']"
What is a Computer?,https://studio.code.org/s/csd1-2022/lessons/5,14+,Question of the Day: How do computers use input and output to get and give the information that they need to solve problems?,Esercizi,Media,30-60,Inglese,"['computers use input', 'solve problems', 'question', 'output', 'need']"
Input and Output,https://studio.code.org/s/csd1-2022/lessons/6,14+,Question of the Day: What are the different ways computers can process information?,Esercizi,Media,30-60,Inglese,"['different ways computers', 'process information', 'question', 'day']"
Processing,https://studio.code.org/s/csd1-2022/lessons/7,14+,Question of the Day: Why is storage an important part of the computing process?,Video,Media,30-60,Inglese,"['important part', 'computing process', 'storage', 'question', 'day']"
Storage,https://studio.code.org/s/csd1-2022/lessons/8,14+,Question of the Day:  How can the IOSP model help us to design an app that solves a problem?,Quiz,Difficile,120,Inglese,"['iosp model help us', 'solves', 'question', 'problem', 'design']"
Project - Propose an App,https://studio.code.org/s/csd1-2022/lessons/9,14+,Question of the Day: What can help us to work together and solve problems as a team?,Testo,Media,30-60,Inglese,"['work together', 'solve problems', 'help us', 'team', 'question']"
t-Project TestPo,https://studio.code.org/s/csd1-2022/lessons/10,14+,Question of the Day: What can help us to work together and solve problems as a team?,Testo,Media,30-60,Inglese,"['work together', 'solve problems', 'help us', 'team', 'question']"
Intro to Problem Solving - Newspaper Table (Alternate Lesson 1),https://studio.code.org/s/csd1-2022/lessons/11,14+,Question of the Day: What can help us to work together and solve problems as a team?,Testo,Media,30-60,Inglese,"['work together', 'solve problems', 'help us', 'team', 'question']"
 Intro to Problem Solving - Spaghetti Bridge (Alternate Lesson 1),https://studio.code.org/s/csd1-2022/lessons/12,14+,Question of the Day: How can we apply the problem solving process to many different kinds of problems?,Testo,Difficile,90-120,Inglese,"['problem solving process', 'many different kinds', 'question', 'problems', 'day']"
 Intro to Problem Solving - Paper Tower (Alternate Lesson 1),https://studio.code.org/s/csd1-2022/lessons/13,14+,Question of the Day: How can we apply the problem solving process to many different kinds of problems?,Testo,Difficile,90-120,Inglese,"['problem solving process', 'many different kinds', 'question', 'problems', 'day']"
Exploring Web Pages,https://studio.code.org/s/csd2-2022/lessons/1,14+,Question of the Day:  Why do people create web pages? ,Testo,Media,30-60,Inglese,"['people create web pages', 'question', 'day']"
Intro to HTML,https://studio.code.org/s/csd2-2022/lessons/2,14+,"Question of the Day: How can we tell the computer both what to put on the web page, and how to organize it?",Video,Media,30-60,Inglese,"['web page', 'tell', 'question', 'put', 'organize']"
Headings,https://studio.code.org/s/csd2-2022/lessons/3,14+,Question of the Day: How can we work together to fix problems with our websites?,Quiz,Media,30-60,Inglese,"['work together', 'fix problems', 'websites', 'question', 'day']"
Mini-Project: HTML Web Page,https://studio.code.org/s/csd2-2022/lessons/4,14+,Question of the Day: How can I use HTML to express a personal value?,Esercizi,Media,30-60,Inglese,"['use html', 'personal value', 'question', 'express', 'day']"
Digital Footprint,https://studio.code.org/s/csd2-2022/lessons/5,14+,Question of the Day: How can you make sure that your private information stays private?,Testo,Media,30-60,Inglese,"['private information stays private', 'make sure', 'question', 'day']"
Styling Text with CSS,https://studio.code.org/s/csd2-2022/lessons/6,14+,Question of the Day: How can we change the style of text on a web page?,Testo,Media,30-60,Inglese,"['web page', 'text', 'style', 'question', 'day']"
Mini-Project: Your Personal Style,https://studio.code.org/s/csd2-2022/lessons/7,14+,How can you express your personal style on a web page?,Esercizi,Media,30-60,Inglese,"['web page', 'personal style', 'express']"
